timestamp,origin,destination,summary_route,travel_time_seconds,travel_time_minutes,distance_meters,distance_km
2025-05-26T17:02:54.458280,"Secunderabad Railway Station, Secunderabad, Telangana","Hitech City, Hyderabad, Telangana",NH 44,3165,52.75,20328,20.33
2025-05-26T17:02:54.970786,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,1187,19.78,5825,5.83
2025-05-26T17:02:55.378417,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,745,12.42,3127,3.13
2025-05-26T17:02:55.853034,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,775,12.92,3160,3.16
2025-05-26T17:02:56.649840,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",NH 65,3952,65.87,19921,19.92
2025-05-26T17:02:57.179134,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,863,14.38,6545,6.54
2025-05-26T17:02:57.711486,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2605,43.42,16860,16.86
2025-05-26T17:02:58.256180,"Paradise Circle, Secunderabad, Telangana","MG Road, Secunderabad, Telangana",NH 44,284,4.73,1167,1.17
2025-05-26T17:02:58.796489,"Secunderabad Railway Station, Malkajgiri, Secunderabad","ECIL X Road, Hyderabad, Telangana",Lalapet - Moula Ali Rd,2055,34.25,11988,11.99
2025-05-26T17:02:59.594245,"ECIL X Road, Hyderabad, Telangana","Keesara, Hyderabad, Telangana",ECIL - Keesara Rd,1660,27.67,14557,14.56
2025-05-26T17:08:00.595842,"Secunderabad Railway Station, Secunderabad, Telangana","Hitech City, Hyderabad, Telangana",Balanagar Main Rd,3120,52.0,20413,20.41
2025-05-26T17:08:00.772914,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,1158,19.3,5825,5.83
2025-05-26T17:08:00.973180,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,770,12.83,3127,3.13
2025-05-26T17:08:01.161804,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,807,13.45,3160,3.16
2025-05-26T17:08:01.884179,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",NH 65,4085,68.08,21229,21.23
2025-05-26T17:08:02.093695,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,882,14.7,6545,6.54
2025-05-26T17:08:02.370862,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2683,44.72,16860,16.86
2025-05-26T17:08:02.535953,"Paradise Circle, Secunderabad, Telangana","MG Road, Secunderabad, Telangana",NH 44,297,4.95,1167,1.17
2025-05-26T17:08:02.801856,"Secunderabad Railway Station, Malkajgiri, Secunderabad","ECIL X Road, Hyderabad, Telangana",Lalapet - Moula Ali Rd,2044,34.07,12280,12.28
2025-05-26T17:08:03.474173,"ECIL X Road, Hyderabad, Telangana","Keesara, Hyderabad, Telangana",ECIL - Keesara Rd,1675,27.92,14557,14.56
2025-05-26T17:13:04.675823,"Secunderabad Railway Station, Secunderabad, Telangana","Hitech City, Hyderabad, Telangana",Balanagar Main Rd,3182,53.03,20413,20.41
2025-05-26T17:13:04.880383,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,1298,21.63,5825,5.83
2025-05-26T17:13:05.124769,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,759,12.65,3127,3.13
2025-05-26T17:13:05.353843,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,864,14.4,3160,3.16
2025-05-26T17:13:06.201793,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",NH 65,4191,69.85,21229,21.23
2025-05-26T17:13:06.427070,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,888,14.8,6545,6.54
2025-05-26T17:13:06.846430,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2640,44.0,16860,16.86
2025-05-26T17:13:07.063589,"Paradise Circle, Secunderabad, Telangana","MG Road, Secunderabad, Telangana",NH 44,281,4.68,1167,1.17
2025-05-26T17:13:07.451137,"Secunderabad Railway Station, Malkajgiri, Secunderabad","ECIL X Road, Hyderabad, Telangana",Lalapet - Moula Ali Rd,2067,34.45,12280,12.28
2025-05-26T17:13:08.257047,"ECIL X Road, Hyderabad, Telangana","Keesara, Hyderabad, Telangana",ECIL - Keesara Rd,1679,27.98,14557,14.56
2025-05-26T17:23:31.454434,"Secunderabad Railway Station, Secunderabad, Telangana","Hitech City, Hyderabad, Telangana",NH 44,3243,54.05,20328,20.33
2025-05-26T17:23:31.808876,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,1482,24.7,5825,5.83
2025-05-26T17:23:32.138737,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,740,12.33,3127,3.13
2025-05-26T17:23:32.774517,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,850,14.17,3160,3.16
2025-05-26T17:23:33.391196,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",Kukatpally Housing Board - Hitech City Rd,4670,77.83,20997,21.0
2025-05-26T17:23:33.792393,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,902,15.03,6545,6.54
2025-05-26T17:23:34.365622,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2676,44.6,16860,16.86
